MGnify_accession	Genome	Species_rep	Lineage	Domain	Phylum	Class	Order	Family	Genus	Species
MGYG-HGUT-00877	GUT_GENOME042389	GUT_GENOME042389	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-83	s__
MGYG-HGUT-00878	GUT_GENOME042491	GUT_GENOME042491	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-00879	GUT_GENOME042573	GUT_GENOME042573	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-00880	GUT_GENOME042972	GUT_GENOME042972	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-00881	GUT_GENOME043156	GUT_GENOME043156	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-00882	GUT_GENOME043611	GUT_GENOME043611	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-00883	GUT_GENOME043892	GUT_GENOME043892	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-170	s__
MGYG-HGUT-00884	GUT_GENOME043942	GUT_GENOME043942	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317855	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-103	s__CAG-103 sp900317855
MGYG-HGUT-00885	GUT_GENOME043953	GUT_GENOME043953	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-00886	GUT_GENOME044018	GUT_GENOME044018	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2882;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA2882	s__
MGYG-HGUT-00887	GUT_GENOME044051	GUT_GENOME044051	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-302;g__CAG-914;s__CAG-914 sp000437895	d__Bacteria	p__Firmicutes	c__Bacilli	o__RF39	f__CAG-302	g__CAG-914	s__CAG-914 sp000437895
MGYG-HGUT-00888	GUT_GENOME044136	GUT_GENOME044136	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__ER4	s__
MGYG-HGUT-00889	GUT_GENOME044138	GUT_GENOME044138	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-279;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-279	s__
MGYG-HGUT-00890	GUT_GENOME044142	GUT_GENOME044142	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales;f__;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Monoglobales	f__	g__	s__
MGYG-HGUT-00891	GUT_GENOME044174	GUT_GENOME044174	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Monoglobales	f__Monoglobaceae	g__Monoglobus	s__
MGYG-HGUT-00892	GUT_GENOME044179	GUT_GENOME044179	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__CAG-115 sp002492075	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__CAG-115	s__CAG-115 sp002492075
MGYG-HGUT-00893	GUT_GENOME044204	GUT_GENOME044204	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__	s__
MGYG-HGUT-00894	GUT_GENOME044229	GUT_GENOME044229	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__CAG-382	g__	s__
MGYG-HGUT-00895	GUT_GENOME044231	GUT_GENOME044231	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__	s__
MGYG-HGUT-00896	GUT_GENOME044240	GUT_GENOME044240	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-00897	GUT_GENOME044241	GUT_GENOME044241	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus_A;s__	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomassiliicoccaceae	g__Methanomassiliicoccus_A	s__
MGYG-HGUT-00898	GUT_GENOME044257	GUT_GENOME044257	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__UBA5394;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Christensenellales	f__CAG-138	g__UBA5394	s__
MGYG-HGUT-00899	GUT_GENOME044271	GUT_GENOME044271	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__CAG-1024;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Christensenellales	f__CAG-138	g__CAG-1024	s__
MGYG-HGUT-00900	GUT_GENOME044283	GUT_GENOME044283	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__	s__
MGYG-HGUT-00901	GUT_GENOME044331	GUT_GENOME044331	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus fermentans	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Acidaminococcus	s__Acidaminococcus fermentans
MGYG-HGUT-00902	GUT_GENOME044483	GUT_GENOME044483	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium neonatale	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium neonatale
MGYG-HGUT-00903	GUT_GENOME044529	GUT_GENOME044529	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__
MGYG-HGUT-00904	GUT_GENOME044676	GUT_GENOME044676	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-00905	GUT_GENOME044732	GUT_GENOME044732	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-00906	GUT_GENOME044788	GUT_GENOME044788	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_A;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides_A	s__
MGYG-HGUT-00907	GUT_GENOME045096	GUT_GENOME045096	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-00908	GUT_GENOME045178	GUT_GENOME045178	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Beduini;s__	d__Bacteria	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelatoclostridiaceae	g__Beduini	s__
MGYG-HGUT-00909	GUT_GENOME045186	GUT_GENOME045186	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA9502	s__
MGYG-HGUT-00910	GUT_GENOME045223	GUT_GENOME045223	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor sp900199495	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Flavonifractor	s__Flavonifractor sp900199495
MGYG-HGUT-00911	GUT_GENOME045302	GUT_GENOME045302	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia_A;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Slackia_A	s__
MGYG-HGUT-00912	GUT_GENOME045330	GUT_GENOME045330	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002232035	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella sp002232035
MGYG-HGUT-00913	GUT_GENOME045630	GUT_GENOME045630	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia	s__
MGYG-HGUT-00914	GUT_GENOME045693	GUT_GENOME045693	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A sp900015295	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_A	s__Fusobacterium_A sp900015295
MGYG-HGUT-00915	GUT_GENOME045758	GUT_GENOME045758	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium nigeriense	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium nigeriense
MGYG-HGUT-00916	GUT_GENOME045767	GUT_GENOME045767	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus delbrueckii_A	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus delbrueckii_A
MGYG-HGUT-00917	GUT_GENOME045846	GUT_GENOME045846	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	s__
MGYG-HGUT-00918	GUT_GENOME045895	GUT_GENOME045895	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Sutterella	s__
MGYG-HGUT-00919	GUT_GENOME046050	GUT_GENOME046050	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Cellulosilyticaceae;g__Niameybacter;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Cellulosilyticaceae	g__Niameybacter	s__
MGYG-HGUT-00920	GUT_GENOME046057	GUT_GENOME046057	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__
MGYG-HGUT-00921	GUT_GENOME046059	GUT_GENOME046059	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Oscillibacter	s__
MGYG-HGUT-00922	GUT_GENOME046070	GUT_GENOME046070	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Christensenellales	f__	g__	s__
MGYG-HGUT-00923	GUT_GENOME046227	GUT_GENOME046227	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_C;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides_C	s__
MGYG-HGUT-00924	GUT_GENOME046367	GUT_GENOME046367	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__An172;s__An172 sp002160515	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__An172	s__An172 sp002160515
MGYG-HGUT-00925	GUT_GENOME046831	GUT_GENOME046831	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-00926	GUT_GENOME047123	GUT_GENOME047123	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella	s__
MGYG-HGUT-00927	GUT_GENOME047195	GUT_GENOME047195	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__;s__	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__	s__
MGYG-HGUT-00928	GUT_GENOME047344	GUT_GENOME047344	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-00929	GUT_GENOME047426	GUT_GENOME047426	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp000437855	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-273	s__CAG-273 sp000437855
MGYG-HGUT-00930	GUT_GENOME047484	GUT_GENOME047484	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__CAG-536;s__CAG-536 sp900314505	d__Bacteria	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__CAG-536	s__CAG-536 sp900314505
MGYG-HGUT-00931	GUT_GENOME047636	GUT_GENOME047636	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-313;g__;s__	d__Bacteria	p__Firmicutes	c__Bacilli	o__ML615J-28	f__CAG-313	g__	s__
MGYG-HGUT-00932	GUT_GENOME047877	GUT_GENOME047877	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__	s__
MGYG-HGUT-00933	GUT_GENOME047905	GUT_GENOME047905	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-314;g__CAG-314;s__CAG-314 sp000437915	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__4C28d-15	f__CAG-314	g__CAG-314	s__CAG-314 sp000437915
MGYG-HGUT-00934	GUT_GENOME047932	GUT_GENOME047932	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-00935	GUT_GENOME047960	GUT_GENOME047960	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__	s__
MGYG-HGUT-00936	GUT_GENOME048115	GUT_GENOME048115	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-00937	GUT_GENOME048143	GUT_GENOME048143	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__	s__
MGYG-HGUT-00938	GUT_GENOME048181	GUT_GENOME048181	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA5446;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UBA5446	s__
MGYG-HGUT-00939	GUT_GENOME048628	GUT_GENOME048628	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__CAG-1024;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Christensenellales	f__CAG-138	g__CAG-1024	s__
MGYG-HGUT-00940	GUT_GENOME048959	GUT_GENOME048959	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-00941	GUT_GENOME049084	GUT_GENOME049084	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-1031;s__CAG-1031 sp000431215	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-1031	s__CAG-1031 sp000431215
MGYG-HGUT-00942	GUT_GENOME049209	GUT_GENOME049209	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-314;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__4C28d-15	f__CAG-314	g__	s__
MGYG-HGUT-00943	GUT_GENOME049240	GUT_GENOME049240	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__
MGYG-HGUT-00944	GUT_GENOME049425	GUT_GENOME049425	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__CAG-1427	s__
MGYG-HGUT-00945	GUT_GENOME049452	GUT_GENOME049452	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-245;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-245	s__
MGYG-HGUT-00946	GUT_GENOME049620	GUT_GENOME049620	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_F	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella aerofaciens_F
MGYG-HGUT-00947	GUT_GENOME049730	GUT_GENOME049730	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-00948	GUT_GENOME049930	GUT_GENOME049930	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__TANB77	f__CAG-508	g__	s__
MGYG-HGUT-00949	GUT_GENOME049949	GUT_GENOME049949	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-00950	GUT_GENOME050033	GUT_GENOME050033	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__
MGYG-HGUT-00951	GUT_GENOME050070	GUT_GENOME050070	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__GCA-900066495;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__GCA-900066495	s__
MGYG-HGUT-00952	GUT_GENOME051358	GUT_GENOME051358	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__UBA4855;s__	d__Bacteria	p__Firmicutes	c__Bacilli	o__RFN20	f__CAG-826	g__UBA4855	s__
MGYG-HGUT-00953	GUT_GENOME052375	GUT_GENOME052375	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_A	s__
MGYG-HGUT-00954	GUT_GENOME052918	GUT_GENOME052918	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__
MGYG-HGUT-00955	GUT_GENOME053393	GUT_GENOME053393	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-00956	GUT_GENOME054382	GUT_GENOME054382	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__Barnesiella	s__
MGYG-HGUT-00957	GUT_GENOME054531	GUT_GENOME054531	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000436695	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp000436695
MGYG-HGUT-00958	GUT_GENOME054973	GUT_GENOME054973	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-776;s__CAG-776 sp000438195	d__Bacteria	p__Firmicutes	c__Bacilli	o__RF39	f__CAG-1000	g__CAG-776	s__CAG-776 sp000438195
MGYG-HGUT-00959	GUT_GENOME055438	GUT_GENOME055438	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus	s__
MGYG-HGUT-00960	GUT_GENOME055936	GUT_GENOME055936	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__UBA1242;g__UBA11517;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__4C28d-15	f__UBA1242	g__UBA11517	s__
MGYG-HGUT-00961	GUT_GENOME056112	GUT_GENOME056112	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Megamonas	s__
MGYG-HGUT-00962	GUT_GENOME056330	GUT_GENOME056330	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Rs-D84;s__	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rs-D84	f__Rs-D84	g__Rs-D84	s__
MGYG-HGUT-00963	GUT_GENOME056716	GUT_GENOME056716	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__CAG-617;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__CAG-617	s__
